Player,Years,Total,Team,Breakdown,Order
"Cody Allen, RP LAA",2,2.34,BOS,,1
"Alex Colome, RP CWS",3,1.69,BOS,,1
"David Hernandez, RP Cin",1,0.41,PIT,,2
"Shawn Armstrong, RP SEA",1,0.41,PIT,,2
"Robert Stock, RP SD",1,0.41,PIT,,2
"Jake Arrieta, SP PHI",2,4.6,LAD,,3
"Taylor Ward, 3B LAA",5,2,PIT,,4
"Joe Ross, SP WAS",5,2.05,NYM,,5
Kevin Kiermaier,2,1.7,NYY,,6
"Jake Arrieta, SP PHI",2,3.8,NYY,,6
"Wade LeBlanc, SP SEA",1,0.55,NYY,,6
"Hanley Ramirez, 1B CLE",1,0.43,LAD,,7
"Jake Arrieta, SP PHI",3,9.3,CLE,"2.5,3.1,3.7",8
"Jake Arrieta, SP PHI",1,0.5,ATL,,9
"Wade LeBlanc, SP SEA",1,0.4,ATL,,9
"Jason Kipnis, 2B CLE",3,1.41,BOS,,10
Kevin Kiermaier,3,1.41,BOS,,10
"David Hernandez, RP Cin",3,1.2,BOS,,10
"Shawn Kelley, RP TEX",1,0.4,BOS,,10
"Frankie Montas, SP OAK",3,5.1,NYM,"2,1.7,1.4",11
"Jake Arrieta, SP PHI",1,4.2,NYM,,11
"Jake Arrieta, SP PHI",2,6,OAK,"2.4,3.6",12
"Joe Ross, SP WAS",5,5.5,OAK,,12
"Frankie Montas, SP OAK",5,3.9,OAK,,12
"Jay Bruce, OF SEA",1,0.55,OAK,,12
"Jake Arrieta, SP PHI",2,3.1,ARZ,,13
"Jake Arrieta, SP PHI",2,7.14,BOS,"4,3.14",14
"Carston Charles Sabathia, SP NYY",2,1,NYM,".4,.6",15
"Joe Ross, SP WAS",4,1.6,CLE,,16
